0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
a	0	0
b	0	0
c	0	0
d	0	0
e	0	0
f	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
1a	0	0
1b	0	0
1c	0	0
1d	0	0
1e	0	0
1f	0	0
20	0	0
21	0	0
22	0	0
23	0	0
24	0	0
25	0	0
26	0	0
27	0	0
28	0	0
29	0	0
2a	0	0
2b	0	0
2c	0	0
2d	0	0
2e	0	0
2f	0	0
30	0	0
31	0	0
32	0	0
33	0	0
34	0	0
35	0	0
36	0	0
37	0	0
38	0	0
39	0	0
3a	0	0
3b	0	0
3c	0	0
3d	0	0
3e	0	0
3f	0	0
40	0	0
41	0	0
42	0	0
43	0	0
44	0	0
45	0	0
46	0	0
47	0	0
48	0	0
49	0	0
4a	0	0
4b	0	0
4c	0	0
4d	0	0
4e	0	0
4f	0	0
50	0	0
51	0	0
52	0	0
53	0	0
54	0	0
55	0	0
56	0	0
57	0	0
58	0	0
59	0	0
5a	0	0
5b	0	0
5c	0	0
5d	0	0
5e	0	0
5f	0	0
60	0	0
61	1	1
62	1	2
63	1	3
64	1	4
65	1	5
66	1	6
67	1	7
68	1	8
69	0	8
6a	0	8
6b	0	8
6c	0	8
6d	0	8
6e	0	8
6f	0	8
70	0	8
71	0	8
72	0	8
73	0	8
74	0	8
75	0	8
76	0	8
77	0	8
78	0	8
79	0	8
7a	0	8
7b	0	8
7c	0	8
7d	0	8
7e	0	8
7f	0	8
80	0	8
81	0	8
82	0	8
83	0	8
84	0	8
85	0	8
86	0	8
87	0	8
88	0	8
89	0	8
8a	0	8
8b	0	8
8c	0	8
8d	0	8
8e	0	8
8f	0	8
90	0	8
91	0	8
92	0	8
93	0	8
94	0	8
95	0	8
96	0	8
97	0	8
98	0	8
99	0	8
9a	0	8
9b	0	8
9c	0	8
9d	0	8
9e	0	8
9f	0	8
a0	0	8
a1	0	8
a2	0	8
a3	0	8
a4	0	8
a5	0	8
a6	0	8
a7	0	8
a8	0	8
a9	0	8
aa	0	8
ab	0	8
ac	0	8
ad	0	8
ae	0	8
af	0	8
b0	0	8
b1	0	8
b2	0	8
b3	0	8
b4	0	8
b5	0	8
b6	0	8
b7	0	8
b8	0	8
b9	0	8
ba	0	8
bb	0	8
bc	0	8
bd	0	8
be	0	8
bf	0	8
c0	0	8
c1	0	8
c2	0	8
c3	0	8
c4	0	8
c5	0	8
c6	0	8
c7	0	8
c8	0	8
c9	0	8
ca	0	8
cb	0	8
cc	0	8
cd	0	8
ce	0	8
cf	0	8
d0	0	8
d1	0	8
d2	0	8
d3	0	8
d4	0	8
d5	0	8
d6	0	8
d7	0	8
d8	0	8
d9	0	8
da	0	8
db	0	8
dc	0	8
dd	0	8
de	0	8
df	0	8
e0	0	8
e1	0	8
e2	0	8
e3	0	8
e4	0	8
e5	0	8
e6	0	8
e7	0	8
e8	0	8
e9	0	8
ea	0	8
eb	0	8
ec	0	8
ed	0	8
ee	0	8
ef	0	8
f0	0	8
f1	0	8
f2	0	8
f3	0	8
f4	0	8
f5	0	8
f6	0	8
f7	0	8
f8	0	8
f9	0	8
fa	0	8
fb	0	8
fc	0	8
fd	0	8
fe	0	8
ff	0	8
Total = 8
Total Byte Count = 8
Encoded Number: 5
Count of characters: 8
Printing data from encoded output file:
5 , 8
8 , 0, 5
6 , 5, 4
5 , 4, 4
5 , 4, 4
5 , 4, 4
5 , 4, 4
5 , 4, 4
5 , 4, 4
